question,option_a,option_b,option_c,option_d,correct_answer,topic
Which country has the largest population in Asia?,India,Japan,Indonesia,China,D,Geography Asia
What is the capital of Indonesia?,Manila,Kuala Lumpur,Jakarta,Singapore,C,Geography Asia
Which ocean borders Asia to the south?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,C,Geography Asia
What is the capital of Pakistan?,Lahore,Karachi,Islamabad,Peshawar,C,Geography Asia
What is the main function of roots in a plant?,Making food,Absorbing water and minerals,Producing flowers,Making seeds,B,EVS Grade 5
Which organ pumps blood in our body?,Lungs,Liver,Heart,Brain,C,EVS Grade 5
What is the primary source of energy on Earth?,Moon,Stars,Sun,Wind,C,EVS Grade 5
Which type of soil is best for growing crops?,Sandy soil,Clayey soil,Loamy soil,Rocky soil,C,EVS Grade 5
What are the three R's of waste management?,Run Ride Rest,Reduce Reuse Recycle,Read Write Run,Relax Rest Repeat,B,EVS Grade 5
Which animal is called the ship of the desert?,Horse,Elephant,Camel,Donkey,C,EVS Grade 5
What is the process of water turning into vapor called?,Condensation,Evaporation,Precipitation,Freezing,B,EVS Grade 5
Which sense organ helps us to smell?,Eyes,Ears,Nose,Tongue,C,EVS Grade 5
What do we call a doctor who treats teeth?,Cardiologist,Dentist,Dermatologist,Pediatrician,B,EVS Grade 5
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,EVS Grade 5
What is the outermost layer of Earth called?,Core,Mantle,Crust,Magma,C,EVS Grade 5
Which vitamin do we get from sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,EVS Grade 5
What do green plants need for photosynthesis?,Only water,Sunlight water and carbon dioxide,Only air,Only soil,B,EVS Grade 5
What is the national bird of India?,Sparrow,Eagle,Peacock,Parrot,C,EVS Grade 5
Which blood cells fight against diseases?,Red blood cells,White blood cells,Platelets,Plasma,B,EVS Grade 5
What is the instrument used to measure temperature?,Barometer,Thermometer,Speedometer,Odometer,B,EVS Grade 5
How many bones does an adult human body have?,106,206,306,406,B,EVS Grade 5
What is the main function of leaves in a plant?,Absorbing water,Making food through photosynthesis,Holding the plant,Storing water,B,EVS Grade 5
Which state in India receives the highest rainfall?,Rajasthan,Gujarat,Meghalaya,Maharashtra,C,EVS Grade 5
What is a group of stars that forms a pattern called?,Galaxy,Solar system,Constellation,Nebula,C,EVS Grade 5
What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Unit,Computer Processing Unit,A,Basic Computers
Which device is used to type text into a computer?,Mouse,Monitor,Keyboard,Speaker,C,Basic Computers
What is the brain of the computer called?,Monitor,CPU,Keyboard,Mouse,B,Basic Computers
Which device displays the output on a computer?,Keyboard,Mouse,Monitor,Printer,C,Basic Computers
What is the full form of RAM?,Read Access Memory,Random Access Memory,Run Access Memory,Ready Access Memory,B,Basic Computers
Which of these is an input device?,Monitor,Printer,Speaker,Mouse,D,Basic Computers
What is software?,Physical parts of computer,Programs and instructions,Monitor screen,Keyboard keys,B,Basic Computers
Which key is used to delete characters to the left of cursor?,Delete,Backspace,Enter,Space,B,Basic Computers
What does www stand for?,World Wide Web,World Web Wide,Wide World Web,Web World Wide,A,Basic Computers
Which device is used to print documents?,Scanner,Monitor,Printer,Keyboard,C,Basic Computers
What is the full form of USB?,Universal Serial Bus,United Serial Bus,Universal System Bus,United System Bus,A,Basic Computers
What stores data permanently in a computer?,RAM,Hard Drive,Monitor,Keyboard,B,Basic Computers
Which of these is an output device?,Keyboard,Mouse,Scanner,Speaker,D,Basic Computers
What is the function of a mouse?,Display images,Input commands by clicking,Store data,Print documents,B,Basic Computers
What is an operating system?,A type of keyboard,Software that manages computer,A game,A printer,B,Basic Computers
Which company makes Windows operating system?,Apple,Google,Microsoft,Samsung,C,Basic Computers
What is the internet?,A type of computer,Global network of computers,A software,A hardware,B,Basic Computers
What is a browser used for?,Playing games,Viewing websites,Writing documents,Drawing pictures,B,Basic Computers
What does the Caps Lock key do?,Delete text,Type in capital letters,Save file,Close window,B,Basic Computers
What is email?,Electronic mail,Emergency mail,Express mail,External mail,A,Basic Computers
