"question","option_a","option_b","option_c","option_d","correct_answer"
"Why should we not waste food?","Food is unlimited","Many people don't have food","Wasting is fun","It doesn't matter","B"
"What should you do when you feel angry?","Hit someone","Take deep breaths and calm down","Shout loudly","Break things","B"
"Why is honesty important?","People will laugh at you","It builds trust","Lying is easier","It doesn't matter","B"
"What should you do before crossing the road?","Run quickly","Look both ways","Close your eyes","Talk on phone","B"
"Why should we take care of pets?","They are toys","They are living beings who need love","They don't feel anything","To show off","B"
"What is the golden rule of behavior?","Treat others the way you want to be treated","Always win","Be selfish","Ignore others","A"
"Why should we respect our teachers?","They give us marks","They help us learn and grow","We have to","It doesn't matter","B"
"What should you do if a friend is sad?","Ignore them","Make fun of them","Comfort and support them","Walk away","C"
"Why should we exercise regularly?","To get tired","To stay healthy and fit","It's boring","No reason","B"
"What should you do with your trash?","Throw anywhere","Put in dustbin","Leave on road","Burn it","B"
"Why is teamwork important?","To do less work","Together we achieve more","To blame others","It's not important","B"
"What should you do when you promise something?","Forget it","Keep your promise","Break it","Lie about it","B"
"Why should we not talk to strangers online?","They are all nice","For safety","It's fun","Everyone does it","B"
"What is the importance of being punctual?","To rush","It shows responsibility","Being late is cool","It doesn't matter","B"
"Why should we save water?","Water is unlimited","Water is precious and limited","Saving is boring","It costs nothing","B"
"What should you do when you receive a gift?","Throw it","Say thank you","Complain about it","Ask for more","B"
"Why is it wrong to copy someone's homework?","It's hard to copy","It's dishonest and you don't learn","Teachers are strict","It saves time","B"
"What should you do when you wake up in the morning?","Go back to sleep","Greet your family","Ignore everyone","Be grumpy","B"
"Why should we turn off lights when not in use?","To save electricity","Darkness is fun","Lights are useless","It doesn't matter","A"
"What is the importance of patience?","Waiting is boring","Good things take time","Impatience is good","Rush through everything","B"
"Why should we respect different cultures?","All cultures are same","Diversity makes world beautiful","Only our culture is right","Culture doesn't matter","B"
